HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.source,Input.target,Input.docID,Input.type,Input.sureAlignments,Input.possAlignments,Input.sourceHighlights,Input.targetHighlights,Input.answerSureAlignments1,Input.answerPossAlignments1,Input.answerSourceHighlights1,Input.answerTargetHighlights1,Answer.activeTime,Answer.comment,Answer.endTime,Answer.possAlignments,Answer.sourceHighlights,Answer.startTime,Answer.submit,Answer.sureAlignments,Answer.targetHighlights,Approve,Reject
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24 ,14-23 ,,,,,,14-23 ,,,,0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,3-1 4-2 5-3 7-4 8-5 9-6 17-15 ,2-0 2-9 14-10 16-11 16-12 ,,,,,,2-0 13-9 14-10 14-11 14-12 15-10 15-11 15-12 16-10 16-11 16-12 ,,,,3-1 4-2 5-3 7-4 8-5 9-6 17-15 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,4-2 6-3 6-5 7-6 8-7 10-8 11-9 12-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 ,0-1 1-1 2-1 3-0 ,,,,,,2-1 3-0 7-6 ,,,,4-2 6-3 6-4 6-5 8-7 9-9 10-8 11-9 12-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-6 1-7 2-8 3-9 4-12 5-13 6-14 7-15 8-16 9-10 10-11 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 24-30 ,{},,,,,,{},,,,0-6 1-7 2-8 3-9 4-12 5-13 6-14 7-15 8-16 9-10 10-11 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 24-30 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-4 1-0 2-1 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 24-22 25-23 26-24 27-25 28-26 29-27 ,{},,,,,,{},,,,0-4 1-0 2-1 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-21 21-21 22-21 23-21 24-22 25-23 26-24 27-25 28-26 29-27 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 20-20 21-21 ,{},,,,,,15-15 15-16 16-15 16-16 17-17 17-18 17-19 18-17 18-18 18-19 19-17 19-18 19-19 ,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 20-20 21-21 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 28-26 ,2-0 2-13 9-7 24-23 24-24 24-25 ,,,,,,2-0 2-13 9-7 ,,,,3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 28-26 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 17-13 ,14-0 15-0 16-0 ,,,,,,15-0 16-0 ,,,,0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 17-13 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 23-22 24-29 ,22-23 22-24 ,,,,,,22-23 22-24 ,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 23-22 24-29 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-19 17-17 17-18 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 29-29 ,{},,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-19 17-18 19-20 19-21 20-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 29-29 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-19 1-19 4-2 6-0 7-1 8-3 9-4 13-8 14-9 15-10 16-22 ,{},,,,,,1-17 1-18 1-19 ,,,,2-21 4-2 6-0 7-1 8-3 9-5 9-6 13-8 14-9 15-10 16-22 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 20-15 21-29 22-30 ,{},,,,,,{},,,,1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 22-30 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 15-14 17-15 18-16 19-17 20-18 21-20 22-23 23-24 24-25 25-26 26-27 27-28 29-29 30-30 ,{},,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 15-14 17-15 18-16 19-17 20-18 21-20 22-23 23-24 24-25 25-26 26-27 27-28 29-29 30-30 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,4-18 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 22-16 ,{},,,,,,{},,,,0-17 1-17 2-17 3-17 4-18 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 21-15 22-19 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 0-2 0-3 0-4 1-0 1-2 1-3 1-4 4-1 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 23-25 ,5-8 20-24 ,,,,,,3-0 5-5 5-6 5-7 5-8 20-24 ,,,,4-1 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 23-25 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-12 1-12 2-13 3-14 4-15 5-16 7-3 8-4 9-5 10-6 11-10 12-18 13-19 14-20 16-1 17-21 ,11-17 15-0 ,,,,,,1-12 ,,,,2-13 3-14 4-15 5-16 6-11 7-3 8-4 9-5 10-6 11-10 11-17 12-18 13-19 14-20 15-0 16-1 17-21 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 1-1 8-3 9-4 10-5 11-6 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 ,{},,,,,,11-6 ,,,,0-0 1-1 8-3 9-4 10-5 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 1-1 5-8 12-10 13-11 ,9-2 9-3 9-4 9-6 10-2 10-3 10-4 10-6 11-8 11-9 ,,,,,,11-8 ,,,,0-0 1-1 5-8 9-2 9-3 9-6 10-2 10-3 10-6 12-10 13-11 ,,
,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,,,,,,,,,0-0 1-1 2-2 3-3 4-4 7-9 8-10 9-11 11-13 12-14 13-15 23-17 ,6-8 10-12 14-16 ,,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 7-9 8-10 9-11 11-13 12-14 13-15 23-17 ,,
